Product Name,Star Rating,Brand,Sale Price,Mrp,Discount Percentage,Number Of Ratings,Number Of Reviews,Ram
"APPLE iPhone 8 Plus (Gold, 64 GB)",4.6,Apple,49900,49900,0,3431,356,2 GB
"APPLE iPhone 8 Plus (Space Grey, 256 GB)",4.6,Apple,84900,84900,0,3431,356,3 GB
"APPLE iPhone 8 Plus (Silver, 256 GB)",4.6,Apple,,84900,0,3431,356,4 GB
"APPLE iPhone 8 (Silver, 256 GB)",4.6,Apple,,1,0,11202,794,5 GB
"APPLE iPhone 8 (Gold, 256 GB)",4.6,Apple,77000,77000,0,11202,794,6 GB
"APPLE iPhone 8 Plus (Silver, 64 GB)",4.6,Apple,49900,49900,0,3431,356,7 GB
"APPLE iPhone 8 Plus (Space Grey, 64 GB)",4.6,Apple,49900,,0,3431,356,8 GB
"APPLE iPhone 8 (Space Grey, 256 GB)",4.6,Apple,77000,77000,0,11202,794,9 GB
"APPLE iPhone XS Max (Silver, 64 GB)",4.6,Apple,89900,89900,0,1454,149,10 GB
"Apple iPhone XR ((PRODUCT)RED, 128 GB) (Includes EarPods, Power Adapter)",4.6,Apple,41999,52900,20,79512,6796,11 GB
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",4.6,Apple,39999,47900,16,79512,6796,12 GB
"Apple iPhone XR (Coral, 128 GB) (Includes EarPods, Power Adapter)",4.6,Apple,41999,52900,20,79582,6804,13 GB
"Apple iPhone XR (Black, 128 GB) (Includes EarPods, Power Adapter)",4.6,Apple,41999,52900,20,79512,6796,14 GB
"Apple iPhone XR (White, 128 GB) (Includes EarPods, Power Adapter)",4.7,Apple,41999,52900,20,79512,6796,15 GB
"APPLE iPhone 11 Pro Max (Gold, 256 GB)",4.7,Apple,131900,131900,0,1078,101,16 GB
"APPLE iPhone 11 Pro Max (Gold, 64 GB)",4.7,Apple,117100,117100,0,1078,101,17 GB
"APPLE iPhone 11 Pro Max (Midnight Green, 256 GB)",4.7,Apple,131900,131900,0,1078,101,18 GB
"APPLE iPhone 11 Pro Max (Space Grey, 64 GB)",4.7,Apple,117100,117100,0,1078,101,19 GB
"APPLE iPhone 11 Pro (Midnight Green, 64 GB)",4.7,Apple,74999,106600,29,7088,523,20 GB
"APPLE iPhone 11 Pro (Space Grey, 512 GB)",4.7,Apple,117900,140300,15,7088,523,21 GB
"APPLE iPhone 11 Pro Max (Midnight Green, 64 GB)",4.7,Apple,117100,117100,0,1078,101,22 GB
"APPLE iPhone 11 Pro (Midnight Green, 512 GB)",4.7,Apple,117900,140300,15,7088,523,23 GB
"APPLE iPhone 11 Pro (Space Grey, 256 GB)",4.7,Apple,99900,121300,17,7081,522,24 GB
"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)",4.7,Apple,44999,54900,18,95909,8161,25 GB
"APPLE iPhone 12 Pro (Silver, 512 GB)",4.7,Apple,140900,149900,6,542,42,26 GB
"APPLE iPhone 12 Pro Max (Pacific Blue, 256 GB)",4.7,Apple,130900,139900,6,580,45,27 GB
"APPLE iPhone 12 Mini (White, 128 GB)",4.7,Apple,64900,74900,13,740,64,22
